AAL_region,neglog10p
1,0.6297275394675445
2,0.12492082435867806
3,0.5975481994363018
4,1.626457198814358
5,0.09280370488924529
6,0.6626844281167207
7,0.08710769992060732
8,0.1074645522414532
9,0.11486042445478273
10,0.1518035525113476
11,2.692469400138594
12,0.7661069719480053
13,2.7143783391627525
14,1.3416986655685186
15,3.242370014209828
16,2.6487439962177572
17,3.7691851497798474
18,3.539274502087252
19,1.278261547257145
20,0.22957286482956757
21,0.39525098127105035
22,0.5363022474049461
23,1.8169468298852474
24,0.09420136596096074
25,2.2033547974445256
26,0.23227468785087296
27,0.09074464802122927
28,0.3301520442069239
29,3.587362892340357
30,3.531048820090445
31,1.845475281910147
32,0.22052979829913155
33,0.1166140285557001
34,0.05524404909194559
35,0.7749404781370075
36,0.026844004982874963
39,0.4006762075367488
40,1.2370257814085912
43,0.814526626554508
44,0.7899201649366687
45,0.6295271275593608
46,2.740495502849966
47,4.263240537850139
48,0.2797973113124821
49,0.27898159171054904
50,0.31807688356202857
51,0.6943899673271997
52,1.8543888147400553
53,0.5256382953412704
54,0.307880796558365
55,3.047785573323575
56,3.41297140028725
57,0.3648752456969763
58,0.6281932207114308
59,0.5870030904079682
60,0.3349038735305946
61,1.3027518825901974
62,0.9186066295845786
63,0.06789440159010263
64,0.24031221859821217
65,0.9719472929507754
66,0.16910595087844252
67,1.0846432583572998
68,0.6840999433737638
69,0.0037663249317492794
70,0.8005253862545882
79,0.09142655775758504
80,0.17664773441011636
81,3.280552181565642
82,1.4317898285592188
83,3.8861562000653715
84,3.825109579507347
85,5.693407078989759
86,4.836428824983836
87,1.2599071834145112
88,0.9592004599836181
89,1.0117357518103873
90,2.238239795217575
